50,0.06301546096801758,4
100,0.11199665069580078,6
150,0.1549975872039795,11
200,0.19200587272644043,8
250,0.28899407386779785,9
300,0.30800557136535645,15
350,0.32500219345092773,7
400,0.37999629974365234,13
450,0.4189949035644531,13
500,0.4560389518737793,15
550,0.4969611167907715,18
600,0.544003963470459,15
650,0.5759973526000977,19
700,0.660006046295166,26
750,0.6739976406097412,16
800,0.7559702396392822,27
850,0.765998363494873,29
900,0.806049108505249,21
950,0.8559997081756592,34
1000,0.9109985828399658,29
1050,0.9660007953643799,38
1100,1.0240027904510498,33
1150,1.0510015487670898,20
1200,1.0899994373321533,35
1250,1.1699953079223633,39
1300,1.230999231338501,54
1350,1.2739999294281006,39
1400,1.2809996604919434,35
1450,1.3030037879943848,43
1500,1.3950064182281494,54
1550,1.41798996925354,49
1600,1.4480009078979492,27
1650,1.4880130290985107,60
1700,1.561000108718872,51
1750,1.6030189990997314,34
1800,1.668989896774292,40
1850,1.7110135555267334,38
1900,1.71097993850708,51
1950,1.7790014743804932,50
2000,1.8050005435943604,49
2050,1.8400013446807861,52
2100,1.9419975280761719,59
2150,1.9249932765960693,55
2200,2.00500226020813,59
2250,2.1350021362304688,50
2300,2.0680086612701416,65
2350,2.1499645709991455,53
2400,2.1960062980651855,69
2450,2.233003616333008,60
2500,2.2669970989227295,63
